x,y,cls,conf
48128,3584,0,0.27634865
49152,3584,0,0.12716407
49664,3584,0,0.16762704
50176,3584,0,0.1337543
50688,3584,0,0.14547919
51200,3584,0,0.14633106
51712,3584,0,0.117217995
52736,3584,0,0.17455095
53248,3584,0,0.19072402
45056,4096,0,0.10743748
45568,4096,0,0.18374003
46080,4096,0,0.20629378
46592,4096,0,0.21576357
47104,4096,0,0.2866183
47616,4096,0,0.17806086
48128,4096,0,0.23992765
48640,4096,0,0.19544049
49152,4096,0,0.2325715
49664,4096,0,0.17888416
50176,4096,0,0.14027736
50688,4096,0,0.1728689
51200,4096,0,0.11661302
51712,4096,0,0.19234964
52224,4096,0,0.18843594
52736,4096,0,0.2081588
53248,4096,0,0.20220678
53760,4096,0,0.25109637
54272,4096,0,0.21791947
54784,4096,0,0.16947459
55808,4096,0,0.16796798
56320,4096,0,0.21975584
56832,4096,0,0.1877276
57856,4096,0,0.19329962
61952,4096,0,0.34992138
62464,4096,0,0.14934519
62976,4096,0,0.18322797
63488,4096,0,0.18198898
41472,4608,0,0.19368058
41984,4608,0,0.13028543
42496,4608,0,0.1138749
43008,4608,0,0.17575017
43520,4608,0,0.13034077
44032,4608,0,0.17213705
44544,4608,0,0.19144103
45056,4608,0,0.18925874
45568,4608,0,0.13324596
46080,4608,0,0.20110628
46592,4608,0,0.24540134
47104,4608,0,0.23992765
47616,4608,0,0.13134027
48128,4608,0,0.17603327
48640,4608,0,0.24225046
49152,4608,0,0.17419945
49664,4608,0,0.17300858
50176,4608,0,0.2552044
50688,4608,0,0.29696
51200,4608,0,0.20291662
51712,4608,0,0.1805397
52224,4608,0,0.16606592
52736,4608,0,0.10325026
53248,4608,0,0.18795107
53760,4608,0,0.18550415
54272,4608,0,0.16885696
54784,4608,0,0.15342228
55296,4608,0,0.22101425
55808,4608,0,0.23757592
56320,4608,0,0.1384618
56832,4608,0,0.068195395
57344,4608,0,0.11080748
57856,4608,0,0.18213442
59392,4608,0,0.16465074
60416,4608,0,0.25238404
60928,4608,0,0.19767669
61440,4608,0,0.28806815
61952,4608,0,0.44247088
62464,4608,0,0.18440007
62976,4608,0,0.16357899
63488,4608,0,0.2660711
39424,5120,0,0.18839864
39936,5120,0,0.20315367
40448,5120,0,0.20012744
40960,5120,0,0.19356625
41472,5120,0,0.285621
41984,5120,0,0.30611202
42496,5120,0,0.12273334
43008,5120,0,0.20469938
43520,5120,0,0.12064587
44032,5120,0,0.256832
44544,5120,0,0.1522212
45056,5120,0,0.10511863
45568,5120,0,0.18206169
46080,5120,0,0.20142025
46592,5120,0,0.16789973
47104,5120,0,0.15928277
47616,5120,0,0.21428008
48128,5120,0,0.19513355
